programa,orgao,finialidade_programa,produto,finialidade_produto,indicador_produto,acao,value_indicador_produto
1818 - MODERNIZAÇÃO DA SEGURANÇA PÚBLICA,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: GERENCIAMENTO INTEGRADO DE OPERAÇÕES,MELHORIA DE GESTÃO,QUANTIDADE DE LIGAÇÕES ATENDIDAS PELO DISQUE DENÚNCIA NO ANO (UNIDADE),6297 - OPERAÇÕES INTEGRADAS DA POLÍCIA /CICC -CENTRO INTEGRADO DE COMANDO E CONTROLE,250000.0
1818 - MODERNIZAÇÃO DA SEGURANÇA PÚBLICA,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: IMPLEMENTAÇÃO DO SISTEMA DE RADIOCOMUNICAÇÃO DIGITAL,MELHORIA DE GESTÃO,NÚMERO DE PROJETOS DE TI IMPLANTADOS (UNIDADE),5642 - INTELIGÊNCIA POLICIAL,13.0
1818 - MODERNIZAÇÃO DA SEGURANÇA PÚBLICA,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: IMPLEMENTAÇÃO DO SISTEMA DE RADIOCOMUNICAÇÃO DIGITAL,MELHORIA DE GESTÃO,TAXA DE EXPANSÃO DO SISTEMA DE RADIOCOMUNICAÇÃO DIGITAL COM CONTROLE INTELIGENTE (%),5642 - INTELIGÊNCIA POLICIAL,77.5
1818 - MODERNIZAÇÃO DA SEGURANÇA PÚBLICA,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: IMPLANTAÇÃO E MANUTENÇÃO DE SISTEMAS DE VIDEOMONITORIZAÇÃO,MELHORIA DE GESTÃO,QUANTIDADE DE CÂMERAS FIXAS DE VIDEOMONITORIZAÇÃO E CÂMERAS INSTALADAS EM DRONES EM OPERAÇÃO PELA PMESP (UNIDADE),6058 - VIDEOMONITORAMENTO POLICIAL OSTENSIVO,446.0
1818 - MODERNIZAÇÃO DA SEGURANÇA PÚBLICA,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: IMPLANTAÇÃO E MANUTENÇÃO DE SISTEMAS DE VIDEOMONITORIZAÇÃO,MELHORIA DE GESTÃO,TAXA DE IMPLANTAÇÃO NOS BATALHÕES TERRITORIAIS DE CÂMERA OPERACIONAL PORTÁTIL - COP (%),6058 - VIDEOMONITORAMENTO POLICIAL OSTENSIVO,49.0
1819 - PROTEÇÃO E DEFESA AO CIDADÃO,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,FINALÍSTICO,PRODUTO: SERVIÇOS DE SEGURANÇA PÚBLICA POR MEIO DO POLICIAMENTO OSTENSIVO E PREVENTIVO,FINALÍSTICO,NÚMERO DE ATENDIMENTOS REALIZADOS PELA PM (UNIDADE),4993 - POLICIA OSTENSIVA E PREVENTIVA,5050000.0
1819 - PROTEÇÃO E DEFESA AO CIDADÃO,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,FINALÍSTICO,PRODUTO: FORMAÇÃO E CAPACITAÇÃO DE PROFISSIONAIS,FINALÍSTICO,ÍNDICE DE CAPACITAÇÃO POR MEIO DE ENSINO À DISTÂNCIA (UNIDADE),4995 - FORMAÇÃO E CAPACITAÇÃO DO POLICIAL MILITAR,2.0
1819 - PROTEÇÃO E DEFESA AO CIDADÃO,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,FINALÍSTICO,PRODUTO: FORMAÇÃO E CAPACITAÇÃO DE PROFISSIONAIS,FINALÍSTICO,QUANTIDADE DE POLICIAIS MILITARES FORMADOS E CAPACITADOS (UNIDADE),4995 - FORMAÇÃO E CAPACITAÇÃO DO POLICIAL MILITAR,29110.0
1819 - PROTEÇÃO E DEFESA AO CIDADÃO,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,FINALÍSTICO,PRODUTO: INFORMAÇÕES DE INTERESSE PÚBLICO RELACIONADOS À ÁREA DE SEGURANÇA PÚBLICA,FINALÍSTICO,QUANTIDADE DE AÇÕES DE COMUNICAÇÃO INSTITUCIONAL (UNIDADE),6066 - COMUNICAÇÃO SOCIAL DA POLÍCIA MILITAR,3600.0
1819 - PROTEÇÃO E DEFESA AO CIDADÃO,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,FINALÍSTICO,PRODUTO: INFORMAÇÕES DE INTERESSE PÚBLICO RELACIONADOS À ÁREA DE SEGURANÇA PÚBLICA,FINALÍSTICO,QUANTIDADE DE PESSOAS ALCANÇADAS COM AS AÇÕES DE COMUNICAÇÃO SOCIAL (UNIDADE),6066 - COMUNICAÇÃO SOCIAL DA POLÍCIA MILITAR,2000000.0
1819 - PROTEÇÃO E DEFESA AO CIDADÃO,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,FINALÍSTICO,PRODUTO: EXPANSÃO E ADEQUAÇÃO DA INFRAESTRUTURA,MELHORIA DE GESTÃO,QUANTIDADE DE QUARTÉIS CONSTRUÍDOS E REFORMADOS (UNIDADE),1090 - CONSTRUÇÃO E REFORMA DE QUARTÉIS,40.0
1819 - PROTEÇÃO E DEFESA AO CIDADÃO,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,FINALÍSTICO,PRODUTO: POLICIAIS MILITARES APTOS PARA AS ATIVIDADES DE POLICIAMENTO OSTENSIVO,MELHORIA DE GESTÃO,QUANTIDADE DE ATENDIMENTOS DE SAÚDE REALIZADOS (UNIDADE),5001 - ATENDIMENTO A SAÚDE DO POLICIAL MILITAR,1061000.0
1819 - PROTEÇÃO E DEFESA AO CIDADÃO,18000 - SECRETARIA DA SEGURANÇA PÚBLICA,FINALÍSTICO,PRODUTO: POLICIAIS MILITARES APTOS PARA AS ATIVIDADES DE POLICIAMENTO OSTENSIVO,MELHORIA DE GESTÃO,TAXA DE ABSENTEÍSMO DO POLICIAL MILITAR (%),5001 - ATENDIMENTO A SAÚDE DO POLICIAL MILITAR,1.6
2000 - GESTÃO FISCAL E TRIBUTÁRIA,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: ARRECADAÇÃO DE IMPOSTOS ESTADUAIS,FINALÍSTICO,ARRECADAÇÃO DE IMPOSTOS (R$ BILHÕES),5021 - OPERAÇÃO TRIBUTÁRIA,184.57
2000 - GESTÃO FISCAL E TRIBUTÁRIA,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: ARRECADAÇÃO DE IMPOSTOS ESTADUAIS,FINALÍSTICO,ÍNDICE DE INADIMPLÊNCIA DO ICMS (%),5021 - OPERAÇÃO TRIBUTÁRIA,5.7
2000 - GESTÃO FISCAL E TRIBUTÁRIA,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: FORTALECIMENTO DO SISTEMA DE CONTROLE INTERNO,FINALÍSTICO,PERCENTUAL DE EXECUÇÃO DE AUDITORIAS PLANEJADAS (%),5599 - AUDITORIAS NAS UNIDADES DA ADMINISTRAÇÃO DIRETA E INDIRETA,96.0
2000 - GESTÃO FISCAL E TRIBUTÁRIA,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: FORTALECIMENTO DO SISTEMA DE CONTROLE INTERNO,FINALÍSTICO,PERCENTUAL DE RECOMENDAÇÕES DE AUDITORIAS ATENDIDAS (%),5599 - AUDITORIAS NAS UNIDADES DA ADMINISTRAÇÃO DIRETA E INDIRETA,65.0
2000 - GESTÃO FISCAL E TRIBUTÁRIA,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: RESULTADOS FINANCEIROS,FINALÍSTICO,DÍVIDA CONSOLIDADA LÍQUIDA SOBRE A RECEITA CORRENTE LÍQUIDA (DCL/RCL) (%),5022 - ADMINISTRAÇÃO FINANCEIRA,168.0
2005 - FOMENTO AO DESENVOLVIMENTO SOCIOECONÔMICO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: CRÉDITO A MUNICIPIOS PAULISTAS,FINALÍSTICO,DESEMBOLSOS DA DESENVOLVE SP PARA MUNICÍPIOS PAULISTAS (R$),6332 - FINANCIAMENTO DE MUNICÍPIOS PAULISTAS,117605020.0
2005 - FOMENTO AO DESENVOLVIMENTO SOCIOECONÔMICO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: CRÉDITO PARA MICRO E PEQUENAS EMPRESAS PARA ACESSO A MERCADO,FINALÍSTICO,TOTAL DE MICRO E PEQUENAS EMPRESAS ATENDIDAS PELA DESENVOLVE (UNIDADE),1991 - EQUALIZAÇÃO DE TAXAS DE JUROS DE FINANCIAMENTOS INCENTIVADOS NO ÂMBITO DO ESTADO,600.0
2005 - FOMENTO AO DESENVOLVIMENTO SOCIOECONÔMICO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: CRÉDITO PARA INOVAÇÃO A EMPRESAS,FINALÍSTICO,DESEMBOLSOS DA DESENVOLVE SP PARA INOVAÇÃO EM EMPRESAS (R$),6330 - CONCESSÃO DE CRÉDITO PARA PROJETOS DE INOVAÇÃO,36266610.0
2005 - FOMENTO AO DESENVOLVIMENTO SOCIOECONÔMICO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: REPASSES FINANCEIROS,FINALÍSTICO,NÚMERO DE  REPASSES FINANCEIROS REALIZADOS (UNIDADE),1191 - REPASSE DE RECURSOS AO FUNDO DE DESENVOLVIMENTO DO VALE DO RIBEIRA,6.0
2021 - GESTÃO DOS REGIMES PRÓPRIOS DE PREVIDÊNCIA ESTADUAL,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: CONCESSÃO E PAGAMENTO DE BENEFÍCIOS,FINALÍSTICO,BENEFICIÁRIOS PAGOS (UNIDADE),5753 - GESTÃO DOS BENEFÍCIOS PREVIDENCIÁRIOS,536984.0
2021 - GESTÃO DOS REGIMES PRÓPRIOS DE PREVIDÊNCIA ESTADUAL,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: CONCESSÃO E PAGAMENTO DE BENEFÍCIOS,FINALÍSTICO,PERCENTUAL DE ÓRGÃO E ENTIDADES COM FOLHAS DE INATIVOS PROCESSADAS PELA SPPREV (%),5753 - GESTÃO DOS BENEFÍCIOS PREVIDENCIÁRIOS,91.49
2021 - GESTÃO DOS REGIMES PRÓPRIOS DE PREVIDÊNCIA ESTADUAL,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: PREVENÇÃO E COMBATE A FRAUDES PREVIDENCIÁRIAS,MELHORIA DE GESTÃO,VALOR ECONOMIZADO COM PAGAMENTOS INDEVIDOS (R$ MILHÕES),8185 - PREVENÇÃO E COMBATE A FRAUDES PREVIDENCIÁRIAS,170.0
2021 - GESTÃO DOS REGIMES PRÓPRIOS DE PREVIDÊNCIA ESTADUAL,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: SEDE PRÓPRIA DA SÃO PAULO PREVIDÊNCIA,MELHORIA DE GESTÃO,PERCENTUAL DE EXECUÇÃO DO PROCESSO DE AQUISIÇÃO DA SEDE DA SÃO PAULO PREVIDÊNCIA - SPPREV (%),8260 - AQUISIÇÃO DA SEDE DA SÃO PAULO PREVIDÊNCIA – SPPREV,33.0
2027 - GESTÃO DE SERVIÇOS PRESTADOS À ADMINISTRAÇÃO ESTADUAL,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: RH-FOLHA – SISTEMA INTEGRADO DE RECURSOS HUMANOS E FOLHA DE PAGAMENTO,FINALÍSTICO,CUMPRIMENTO DO CRONOGRAMA DE ATIVIDADES RELACIONADAS AO DESENVOLVIMENTO DO SISTEMA RH-FOLHA (%),"5884 - INTEGRAÇÃO, OPERAÇÃO E SUPORTE À GESTÃO DOS ÓRGÃOS DE RECURSOS HUMANOS",75.0
2027 - GESTÃO DE SERVIÇOS PRESTADOS À ADMINISTRAÇÃO ESTADUAL,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,"PRODUTO: PERÍCIAS, LAUDOS E PARECERES MÉDICOS",FINALÍSTICO,"QUANTIDADE DE PERÍCIAS MÉDICAS, LAUDOS E PARECERES (UNIDADE)",5971 - REALIZAÇÃO DE PERÍCIAS MÉDICAS,346200.0
2027 - GESTÃO DE SERVIÇOS PRESTADOS À ADMINISTRAÇÃO ESTADUAL,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,"PRODUTO: PERÍCIAS, LAUDOS E PARECERES MÉDICOS",FINALÍSTICO,TEMPO MÉDIO PARA PUBLICAÇÃO DOS RESULTADOS DAS PERÍCIAS PARA TRATAMENTO DE SAÚDE E INGRESSO (DIA),5971 - REALIZAÇÃO DE PERÍCIAS MÉDICAS,14.0
2027 - GESTÃO DE SERVIÇOS PRESTADOS À ADMINISTRAÇÃO ESTADUAL,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: SISTEMA DE GESTÃO DE ESTRUTURAS ORGANIZACIONAIS,MELHORIA DE GESTÃO,PERCENTUAL DE IMPLEMENTAÇÃO DO NOVO PERFIL DA ADMINISTRAÇÃO PÚBLICA (%),8337 - NOVO PERFIL DA ADMINISTRAÇÃO PÚBLICA,50.0
2027 - GESTÃO DE SERVIÇOS PRESTADOS À ADMINISTRAÇÃO ESTADUAL,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: SISTEMA DE GESTÃO DE ESTRUTURAS ORGANIZACIONAIS,MELHORIA DE GESTÃO,QUANTIDADE DE ACESSOS AO SISTEMA PERFIL DA ADMINISTRAÇÃO PÚBLICA (UNIDADE),8337 - NOVO PERFIL DA ADMINISTRAÇÃO PÚBLICA,2566.0
2028 - GESTÃO INOVADORA E ORIENTADA PARA RESULTADOS,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,"PRODUTO: CAPACITAÇÃO DE SERVIDORES EM GESTÃO DE RH, RECURSOS PÚBLICOS E POL. PÚBLICAS",MELHORIA DE GESTÃO,QUANTIDADE DE VAGAS APROVEITADAS (UNIDADE),5357 - CAPACITAÇÃO EM GESTÃO PÚBLICA E GESTÃO PARA RESULTADOS,19192.0
2028 - GESTÃO INOVADORA E ORIENTADA PARA RESULTADOS,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,"PRODUTO: CAPACITAÇÃO DE SERVIDORES EM GESTÃO DE RH, RECURSOS PÚBLICOS E POL. PÚBLICAS",MELHORIA DE GESTÃO,SATISFAÇÃO DOS ALUNOS NOS EVENTOS REALIZADOS PELA ESCOLA DE GOVERNO (%),5357 - CAPACITAÇÃO EM GESTÃO PÚBLICA E GESTÃO PARA RESULTADOS,80.5
2028 - GESTÃO INOVADORA E ORIENTADA PARA RESULTADOS,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: APOIO À GESTÃO GOVERNAMENTAL E DE POLÍTICAS PÚBLICAS JUNTO A ÓRGÃOS E ENTIDADES,MELHORIA DE GESTÃO,ÍNDICE DE DESEMPENHO DAS EQUIPES EXTERNAS (IDEE) (%),6032 - GESTÃO PARA RESULTADOS,95.0
2028 - GESTÃO INOVADORA E ORIENTADA PARA RESULTADOS,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: APOIO À GESTÃO GOVERNAMENTAL E DE POLÍTICAS PÚBLICAS JUNTO A ÓRGÃOS E ENTIDADES,MELHORIA DE GESTÃO,ÍNDICE DE EXECUÇÃO DOS PLANOS DE TRABALHO (IEPT) (%),6032 - GESTÃO PARA RESULTADOS,90.0
2028 - GESTÃO INOVADORA E ORIENTADA PARA RESULTADOS,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: PROGRAMA DE EDUCAÇÃO FISCAL PARA A CIDADANIA,MELHORIA DE GESTÃO,NÚMERO DE CIDADÃOS CONSCIENTIZADOS (UNIDADE),4499 - EVENTOS DE CAPACITAÇÃO E DE CONSCIENTIZAÇÃO FISCAL,25000.0
2028 - GESTÃO INOVADORA E ORIENTADA PARA RESULTADOS,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: PROGRAMA DE EDUCAÇÃO FISCAL PARA A CIDADANIA,MELHORIA DE GESTÃO,PERCENTUAL DE MUNICÍPIOS PAULISTAS IMPACTADOS POR AÇÕES DE EDUCAÇÃO FISCAL (%),4499 - EVENTOS DE CAPACITAÇÃO E DE CONSCIENTIZAÇÃO FISCAL,66.51
2028 - GESTÃO INOVADORA E ORIENTADA PARA RESULTADOS,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: FISCO MODERNIZADO,MELHORIA DE GESTÃO,NÚMERO DE SUBPROJETOS PROFISCO CONCLUÍDOS (UNIDADE),2290 - GESTÃO FISCAL E INTEGRAÇÃO DOS FISCOS NO BRASIL  - PROFISCO   SP,27.0
2028 - GESTÃO INOVADORA E ORIENTADA PARA RESULTADOS,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: ESTUDOS DE PROJETOS DE DESESTATIZAÇÃO,MELHORIA DE GESTÃO,QUANTIDADE DE ESTUDOS CONCLUÍDOS (UNIDADE),2599 - APOIO TÉCNICO AO PROGRAMA ESTADUAL DE DESESTATIZAÇÃO,1.0
2028 - GESTÃO INOVADORA E ORIENTADA PARA RESULTADOS,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: ITENS NEGOCIADOS NA BEC/SP,MELHORIA DE GESTÃO,MÉDIA MENSAL DE FORNECEDORES CADASTRADOS POR OFERTA DE COMPRA (UNIDADE),5601 - GESTÃO DO SISTEMA BOLSA ELETRÔNICA DE COMPRAS - BEC/SP,16.0
2028 - GESTÃO INOVADORA E ORIENTADA PARA RESULTADOS,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: ITENS NEGOCIADOS NA BEC/SP,MELHORIA DE GESTÃO,PERCENTUAL MÉDIO DE ITENS EFETIVAMENTE NEGOCIADOS NA BEC/SP NO MÊS (%),5601 - GESTÃO DO SISTEMA BOLSA ELETRÔNICA DE COMPRAS - BEC/SP,70.0
2028 - GESTÃO INOVADORA E ORIENTADA PARA RESULTADOS,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: PROJETOS DE PARCERIA PÚBLICA ANALISADOS,MELHORIA DE GESTÃO,NÚMERO DE PROJETOS ANALISADOS (UNIDADE),2262 - APOIO À IMPLEMENTAÇÃO DE PROJETOS DE PPPS – PROJETOS ANALISADOS,1.0
2029 - FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO EORÇAMENTO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,"PRODUTO: PLANO PLURIANUAL ELABORADO, MONITORADO E REVISTO",FINALÍSTICO,ÍNDICE DE SATISFAÇÃO DOS GERENTES DO PPA COM AS ATIVIDADES DE APOIO AO MONITORAMENTO (ESC. 5 PTS),6237 - GESTÃO DO PLANO PLURIANUAL,3.8
2029 - FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO EORÇAMENTO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,"PRODUTO: PLANO PLURIANUAL ELABORADO, MONITORADO E REVISTO",FINALÍSTICO,TEMPO DEDICADO ÀS AGENDAS CONJUNTAS COM OS ÓRGÃOS SETORIAIS (H),6237 - GESTÃO DO PLANO PLURIANUAL,1000.0
2029 - FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO EORÇAMENTO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: ORÇAMENTOS ANUAIS ELABORADOS E ACOMPANHADOS,FINALÍSTICO,NÚMERO DE LEIS ORÇAMENTÁRIAS ELABORADAS E ACOMPANHADAS (UNIDADE),4485 - GESTÃO DO PROCESSO ORÇAMENTÁRIO DO ESTADO,2.0
2029 - FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO EORÇAMENTO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: ORÇAMENTOS ANUAIS ELABORADOS E ACOMPANHADOS,FINALÍSTICO,TEMPO MÉDIO DE ANALISE  DE MOVIMENTAÇÕES ORÇAMENTÁRIAS (DIA),4485 - GESTÃO DO PROCESSO ORÇAMENTÁRIO DO ESTADO,7.45
2029 - FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO EORÇAMENTO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: AVALIAÇÕES DE PROGRAMAS GOVERNAMENTAIS,FINALÍSTICO,ÍNDICE DE SATISFAÇÃO DOS SETORIAIS RESPONSÁVEIS PELO PROGRAMA AVALIADO COM O PROCESSO AVALIATIVO (ESC. 5 PTS),4483 - EXECUÇÃO DE PROCESSOS AVALIATIVOS DE PROGRAMAS GOVERNAMENTAIS,4.5
2029 - FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO EORÇAMENTO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: AVALIAÇÕES DE PROGRAMAS GOVERNAMENTAIS,FINALÍSTICO,NÚMERO DE AVALIAÇÕES DE DESEMPENHO DOS PROGRAMAS REALIZADAS (UNIDADE),4483 - EXECUÇÃO DE PROCESSOS AVALIATIVOS DE PROGRAMAS GOVERNAMENTAIS,10.0
2029 - FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO EORÇAMENTO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: AUDIÊNCIAS PÚBLICAS EM PROCESSOS DE PLANEJAMENTO E ORÇAMENTO,FINALÍSTICO,MÉDIA DE PARTICIPAÇÕES DE MEMBROS DA SOCIEDADE CIVIL EM AUDIÊNCIAS PÚBLICAS (%),6308 - FOMENTO À PARTICIPAÇÃO SOCIAL EM PLANEJAMENTO,25.0
2029 - FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO EORÇAMENTO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: AUDIÊNCIAS PÚBLICAS EM PROCESSOS DE PLANEJAMENTO E ORÇAMENTO,FINALÍSTICO,NÚMERO DE AUDIÊNCIAS PÚBLICAS REALIZADAS (UNIDADE),6308 - FOMENTO À PARTICIPAÇÃO SOCIAL EM PLANEJAMENTO,18.0
2029 - FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO EORÇAMENTO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: ESTUDOS SOBRE A SITUAÇÃO DO ESTADO DO SÃO PAULO E DE SUAS POLÍTICAS PÚBLICAS,MELHORIA DE GESTÃO,NÚMERO DE ESTUDOS REALIZADOS (UNIDADE),6236 - SUBSÍDIOS TÉCNICOS EM PLANEJAMENTO E ORÇAMENTO,5.0
2029 - FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO EORÇAMENTO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: ESTUDOS SOBRE A SITUAÇÃO DO ESTADO DO SÃO PAULO E DE SUAS POLÍTICAS PÚBLICAS,MELHORIA DE GESTÃO,PROPORÇÃO DE OBJETIVOS DE DESENVOLVIMENTO SUSTENTÁVEL ABRANGIDOS NOS ESTUDOS SOBRE SITUAÇÃO DO ESTADO (%),6236 - SUBSÍDIOS TÉCNICOS EM PLANEJAMENTO E ORÇAMENTO,40.0
2029 - FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO EORÇAMENTO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: APERFEIÇOAMENTO DA REDE ESTADUAL DE PLANEJAMENTO E ORÇAMENTO,MELHORIA DE GESTÃO,ÍNDICE DE PERCEPÇÃO DOS GERENTES DO PPA EM RELAÇÃO À APLICAÇÃO DA METODOLOGIA DO ORÇAMENTO POR RESULTADOS (ESC. 5PTS),8286 - MODERNIZAÇÃO DO SISTEMA ESTADUAL DE PLANEJAMENTO E ORÇAMENTO202,3.75
2029 - FORTALECIMENTO DO SISTEMA ESTADUAL DE PLANEJAMENTO EORÇAMENTO,20000 - SECRETARIA  DA  FAZENDA  E PLANEJAMENTO,FINALÍSTICO,PRODUTO: APERFEIÇOAMENTO DA REDE ESTADUAL DE PLANEJAMENTO E ORÇAMENTO,MELHORIA DE GESTÃO,PERCENTUAL DE IMPLEMENTAÇÃO DO PLANO DE TRABALHO DE PROCESSOS DE PLANEJAMENTO (%),8286 - MODERNIZAÇÃO DO SISTEMA ESTADUAL DE PLANEJAMENTO E ORÇAMENTO202,90.0
2505 - FOMENTO À HABITAÇÃO DE INTERESSE SOCIAL- CASA PAULISTA,25000 - SECRETARIA DA HABITAÇÃO,FINALÍSTICO,PRODUTO: CONCESSÃO DE BENEFÍCIOS HABITACIONAIS,FINALÍSTICO,NÚMERO DE BENEFÍCIOS HABITACIONAIS CONCEDIDOS ÀS FAMÍLIAS (UNIDADE),2503 - APOIO HABITACIONAL,9000.0
2505 - FOMENTO À HABITAÇÃO DE INTERESSE SOCIAL- CASA PAULISTA,25000 - SECRETARIA DA HABITAÇÃO,FINALÍSTICO,PRODUTO: CONCESSÃO DE SUBSÍDIOS HABITACIONAIS,FINALÍSTICO,NÚMERO DE SUBSÍDIOS HABITACIONAIS CONCEDIDOS (UNIDADE),2277 - AÇÕES DO FUNDO GARANTIDOR HABITACIONAL-FGH,29929.0
2507 - REGULARIZAÇÃO FUNDIÁRIA DE INTERESSE HABITACIONAL,25000 - SECRETARIA DA HABITAÇÃO,FINALÍSTICO,PRODUTO: DOMICÍLIOS BENEFICIADOS POR APOIO À REGULARIZAÇÃO FUNDIÁRIA,FINALÍSTICO,MATRÍCULAS E TÍTULOS DE REGULARIZAÇÃO FUNDIÁRIA ENTREGUES (UNIDADE),5702 - APOIO À REGULARIZAÇÃO FUNDIÁRIA,56250.0
